fecha,cpi_u_nsa,fuente,url,consultado
1990-01-01,127.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-02-01,128.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-03-01,128.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-04-01,128.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-05-01,129.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-06-01,129.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-07-01,130.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-08-01,131.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-09-01,132.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-10-01,133.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-11-01,133.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1990-12-01,133.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-01-01,134.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-02-01,134.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-03-01,135.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-04-01,135.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-05-01,135.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-06-01,136.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-07-01,136.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-08-01,136.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-09-01,137.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-10-01,137.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-11-01,137.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1991-12-01,137.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-01-01,138.1,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-02-01,138.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-03-01,139.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-04-01,139.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-05-01,139.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-06-01,140.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-07-01,140.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1992-08-01,140.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
