serie,modelo,k,n_eval,cobertura
other_milds,blend,1,19,0.8421052631578947
robustas,blend,1,19,0.8421052631578947
other_milds,blend,2,18,0.7222222222222222
robustas,blend,2,18,0.8333333333333334
other_milds,blend,3,17,0.8235294117647058
robustas,blend,3,17,0.7058823529411765
other_milds,blend,4,16,0.6875
robustas,blend,4,16,0.6875
other_milds,blend,5,15,0.6
robustas,blend,5,15,0.6
other_milds,blend,6,8,0.75
robustas,blend,6,8,0.5
other_milds,meanrev,1,19,0.8421052631578947
robustas,meanrev,1,19,0.8421052631578947
other_milds,meanrev,2,18,0.7777777777777778
robustas,meanrev,2,18,0.8333333333333334
other_milds,meanrev,3,17,0.8823529411764706
robustas,meanrev,3,17,0.7058823529411765
other_milds,meanrev,4,16,0.8125
robustas,meanrev,4,16,0.6875
other_milds,meanrev,5,15,0.7333333333333333
robustas,meanrev,5,15,0.6
other_milds,meanrev,6,8,0.75
robustas,meanrev,6,8,0.5
other_milds,naive,1,19,0.8421052631578947
robustas,naive,1,19,0.8947368421052632
other_milds,naive,2,18,0.7222222222222222
robustas,naive,2,18,0.8888888888888888
other_milds,naive,3,17,0.7058823529411765
robustas,naive,3,17,0.7647058823529411
other_milds,naive,4,16,0.6875
robustas,naive,4,16,0.6875
other_milds,naive,5,15,0.5333333333333333
robustas,naive,5,15,0.6
other_milds,naive,6,8,0.625
robustas,naive,6,8,0.625
