serie,modelo,k,n,sesgo_log,mdape
other_milds,blend,1,19,-0.003117080121471028,0.09024572508347872
other_milds,blend,2,18,0.03008863221240364,0.19285871181384623
other_milds,blend,3,17,0.07356539618332827,0.21754290552598576
other_milds,blend,4,16,0.12347018780219408,0.3054735329259032
other_milds,blend,5,15,0.20538016253188013,0.29187549549033087
other_milds,blend,6,14,0.23717348130264834,0.32197083948048283
other_milds,meanrev,1,19,0.0028489485013202826,0.09603654555585772
other_milds,meanrev,2,18,0.031654169511614004,0.19251764590019288
other_milds,meanrev,3,17,0.08442303564988615,0.18650246185198083
other_milds,meanrev,4,16,0.09682419787739323,0.2488560663533571
other_milds,meanrev,5,15,0.16929389766692018,0.3053797021006217
other_milds,meanrev,6,14,0.17431726211595497,0.29379463575993364
other_milds,naive,1,19,-0.00909219752593718,0.08196415835122928
other_milds,naive,2,18,0.029886023943361616,0.2058637154898198
other_milds,naive,3,17,0.08514652472733603,0.25388706225451607
other_milds,naive,4,16,0.15011387419179203,0.3576213676410495
other_milds,naive,5,15,0.20282496758992205,0.4037691660192311
other_milds,naive,6,14,0.32268371718607325,0.4534233900065465
robustas,blend,1,19,0.0329676936945362,0.10912656894824413
robustas,blend,2,18,0.0187890190540236,0.18720409881043243
robustas,blend,3,17,0.00270088517383389,0.22466042644856987
robustas,blend,4,16,0.15062534998378763,0.1908550955624035
robustas,blend,5,15,0.2260427231564054,0.30724911433259416
robustas,blend,6,14,0.16678194749806666,0.30611525379359195
robustas,meanrev,1,19,0.039352848334309284,0.10626776889584266
robustas,meanrev,2,18,0.0565368737431724,0.17412500244336526
robustas,meanrev,3,17,0.025074157118265036,0.2195509199118424
robustas,meanrev,4,16,0.1804869759083642,0.20226450792044426
robustas,meanrev,5,15,0.22107521174490408,0.3038586339465168
robustas,meanrev,6,14,0.18672058899383573,0.3480364652810252
robustas,naive,1,19,0.026571607989862422,0.11348743618540869
robustas,naive,2,18,-0.0032333780918427733,0.20007836391184003
robustas,naive,3,17,0.007550155979365479,0.17034313866750617
robustas,naive,4,16,0.0989587831750511,0.17107467886013017
robustas,naive,5,15,0.23101018173200455,0.27792682493703214
robustas,naive,6,14,0.15130908864554488,0.2726101835396982
