country,posicion,segmento,nivel,score,freq_top10,rank_p10,rank_p90,cuota_2019,y19,y24,crec_abs,cagr_proy,crec_reciente,alerta_optimismo,grupo_serie
Brazil,1,Grandes en crecimiento sostenido,Prioritario,84.66793168880456,0.9914,1.0,7.0,0.44016696413283485,1320.0,1466.3030061466216,146.30300614662156,0.021245036450724175,0.018709607345481105,False,dinámica
Ethiopia,2,Grandes en crecimiento sostenido,Prioritario,78.6670049016541,1.0,1.0,7.0,0.0756486950630113,226.86,256.25470448449585,29.394704484495833,0.024667080606592284,0.018703216729893057,False,dinámica
Vietnam,3,Emergentes de alto crecimiento,Prioritario,78.62400299859662,0.8542,1.0,15.0,0.05302011158872784,159.0,220.1728735143324,61.172873514332395,0.06726762919106388,0.03700253539817244,True,dinámica
Indonesia,4,Grandes en crecimiento sostenido,Prioritario,78.1727332305632,0.9592,2.0,8.0,0.09615647407374565,288.36,347.96299963559414,59.60299963559413,0.03829224394101782,0.01422264360951897,False,dinámica
Philippines,5,Emergentes de alto crecimiento,Prioritario,77.94384283056466,0.9774,2.0,5.0,0.06502466515598697,195.0,231.19106444302224,36.19106444302224,0.03463528790021808,0.024848222923756547,False,dinámica
Colombia,6,Grandes en crecimiento sostenido,Prioritario,71.28156781265378,0.8716,4.0,12.100000000000364,0.04051084657432257,121.48644,142.33047604296317,20.844036042963168,0.032176623916299496,0.036344802686141486,False,dinámica
Thailand,7,Emergentes de alto crecimiento,Candidato,65.56835508605371,0.6324,6.0,20.0,0.02801062499027131,84.0,107.35809388989401,23.358093889894008,0.050294524088418946,0.018629767369271688,True,dinámica
Mexico,8,Grandes en crecimiento sostenido,Prioritario,62.02621572365232,0.7326,7.0,12.0,0.04851840400100566,145.5,153.9324693644298,8.432469364429807,0.011331300093489816,0.011891293139641546,False,dinámica
Bolivia,9,Grandes en crecimiento sostenido,Nicho prometedor,61.06794646427972,0.8398,1.0,11.0,0.0012204629460046785,3.66,4.161271672701143,0.5012716727011428,0.026003865350719968,0.026174145936255888,False,dinámica
Uganda,10,Grandes en crecimiento sostenido,Nicho prometedor,59.082401660125925,0.775,7.0,13.0,0.005081927676806366,15.24,17.92939360890561,2.6893936089056094,0.033037594897524114,0.02069608394587652,False,dinámica
